LATITUDE,LONGITUDE,SAMPLE_TIME_UTC
-12.717,141.717,1989-11-27T00:00:00Z
-12.55,141.55,1990-02-24T00:00:00Z
-12.717,141.717,1990-02-28T00:00:00Z
-12.65,141.667,1990-08-21T00:00:00Z
-12.55,141.55,1991-04-15T00:00:00Z
-12.55,140.85,1987-07-26T00:00:00Z
-12.733,141.65,1988-09-13T00:00:00Z
-12.717,141.717,1988-10-11T00:00:00Z
-12.75,141.567,1988-03-19T00:00:00Z
-12.85,141.567,1990-09-16T00:00:00Z
-12.65,141.667,1990-08-18T00:00:00Z
-12.8,141.7,1990-08-21T00:00:00Z
-12.55,141.55,1992-01-05T00:00:00Z
-12.8,141.7,1992-01-07T00:00:00Z
-12.8,141.7,1992-04-01T00:00:00Z
-12.75,141.567,1991-03-16T00:00:00Z
-12.65,141.333,1988-07-14T00:00:00Z
-12.833,141.65,1989-02-10T00:00:00Z
-12.65,141.667,1988-08-15T00:00:00Z
-12.75,141.567,1989-08-04T00:00:00Z
-12.75,141.433,1991-02-16T00:00:00Z
-12.833,141.65,1992-03-06T00:00:00Z
-12.75,141.433,1991-11-07T00:00:00Z
-12.65,141.533,1987-06-27T00:00:00Z
-12.667,141.517,1987-05-24T00:00:00Z
-12.95,141.517,1987-10-23T00:00:00Z
-12.5,141.267,1988-07-14T00:00:00Z
-12.55,141.533,1988-02-21T00:00:00Z
-12.717,141.717,1990-04-24T00:00:00Z
-12.733,141.65,1990-09-15T00:00:00Z
-12.65,141.667,1992-03-03T00:00:00Z
-12.65,141.667,1992-03-29T00:00:00Z
-12.8,141.7,1992-03-29T00:00:00Z
-12.717,141.717,1987-04-30T00:00:00Z
-12.65,141.55,1988-05-15T00:00:00Z
-12.717,141.717,1989-04-08T00:00:00Z
-12.717,141.717,1989-08-31T00:00:00Z
-12.65,141.55,1991-02-15T00:00:00Z
-12.633,141.717,1991-03-15T00:00:00Z
-12.8,141.7,1991-03-15T00:00:00Z
-12.65,141.667,1988-01-21T00:00:00Z
-12.333,140.833,1990-02-25T00:00:00Z
-12.833,141.65,1991-11-09T00:00:00Z
-12.55,141.55,1992-03-30T00:00:00Z
-12.733,141.65,1991-04-13T00:00:00Z
-12.75,141.567,1991-10-06T00:00:00Z
-12.733,141.55,1986-11-03T00:00:00Z
-12.55,141.55,1989-01-13T00:00:00Z
-12.633,141.717,1989-04-08T00:00:00Z
-12.633,141.717,1991-01-14T00:00:00Z
-12.65,141.55,1988-02-20T00:00:00Z
-12.55,141.45,1990-03-29T00:00:00Z
-12.8,141.7,1991-03-18T00:00:00Z
-12.55,141.05,1987-07-26T00:00:00Z
-12.65,141.333,1989-02-11T00:00:00Z
-12.65,141.533,1988-02-21T00:00:00Z
-12.55,141.55,1990-03-30T00:00:00Z
-12.733,141.65,1990-08-22T00:00:00Z
-12.767,141.333,1987-09-22T00:00:00Z
-12.55,141.55,1991-12-07T00:00:00Z
-27.29,153.29,2011-01-30T00:00:00Z
-27.31142,153.21431,2011-01-30T00:00:00Z
-38.397425,142.553217,2009-12-15T00:00:00Z
-38.397425,142.553217,2008-01-07T00:00:00Z
-31.9321,155.4966,2008-10-12T07:14:20Z
-32.9168,152.1658,2008-10-18T18:23:28Z
-33.2162,152.6739,2009-10-19T15:30:36Z
-33.507,152.3296,2008-10-17T12:53:12Z
-35.6172,151.4936,2010-09-23T14:52:27Z
-31.9321,155.4966,2008-10-12T07:19:20Z
-33.0476,152.3334,2008-10-18T15:55:23Z
-35.5406,151.304,2010-10-03T11:19:29Z
-33.9776,152.2486,2008-10-15T11:48:59Z
-35.5472,151.3116,2010-09-23T16:52:21Z
-33.9691,151.6732,2008-10-15T23:17:28Z
-32.2996,153.1162,2009-10-24T11:07:17Z
-35.3219,150.768,2010-10-03T17:06:55Z
-33.0165,152.2829,2009-10-21T21:43:29Z
-42.667,148.12,1990-01-06T00:00:00Z
-42.667,148.12,1990-01-22T00:00:00Z
-28.63,153.72,1940-08-09T00:00:00Z
-34.05,151.2,1940-10-31T00:00:00Z
-33.57,151.55,1938-12-17T00:00:00Z
-34.17,151.53,1939-09-06T00:00:00Z
-34.1,151.63,1938-11-11T00:00:00Z
-42.65,148.43,1938-06-01T00:00:00Z
-34.08,151.6,1939-10-02T00:00:00Z
-31.72,153.28,1940-08-05T00:00:00Z
-37.1,150.05,1939-10-17T00:00:00Z
-32.7,152.32,1941-01-01T00:00:00Z
-33.3,151.7,1939-05-03T00:00:00Z
-37.12,150.07,1939-04-17T00:00:00Z
-34.15,151.58,1939-05-29T00:00:00Z
-30.3,153.27,1940-08-08T00:00:00Z
-35.22,151.17,1941-01-16T00:00:00Z
-33.95,151.57,1940-12-05T00:00:00Z
-36.27,150.27,1939-04-18T00:00:00Z
-31.15,153.35,1939-07-18T00:00:00Z
-36.3,150.25,1939-12-27T00:00:00Z
-41.32,148.75,1939-04-10T00:00:00Z
-34.07,151.22,1939-05-02T00:00:00Z
-42.62,148.53,1939-06-11T00:00:00Z
-41.33,148.78,1941-01-21T00:00:00Z
-37.05,150.383,1954-01-06T00:00:00Z
-31.43,153.1,1953-12-16T00:00:00Z
-34,151.283,1953-06-30T00:00:00Z
-31.43,153.1,1954-03-31T00:00:00Z
-43.216,148.116,1950-07-06T00:00:00Z
-42.32,148.3,1949-04-06T00:00:00Z
-43.216,148.116,1953-10-03T00:00:00Z
-43.216,148.116,1953-12-29T00:00:00Z
-42.76,148.26,1953-06-15T00:00:00Z
-42.32,148.3,1954-06-22T00:00:00Z
-29.133,153.633,1954-01-23T00:00:00Z
-38.5,148.5,1950-10-04T00:00:00Z
-43.216,148.116,1950-03-07T00:00:00Z
-38.5,148.5,1954-07-21T00:00:00Z
-42.32,148.3,1953-04-11T00:00:00Z
-42.76,148.26,1954-07-22T00:00:00Z
-38.5,144.5,1952-04-22T00:00:00Z
-30.283,153.267,1954-03-08T00:00:00Z
-38.5,148.5,1950-08-10T00:00:00Z
-43.216,148.116,1951-05-19T00:00:00Z
-42.32,148.3,1952-11-22T00:00:00Z
-42.32,148.3,1954-04-28T00:00:00Z
-38.5,144.5,1954-04-20T00:00:00Z
-39.9,146.33,1950-11-25T00:00:00Z
-42.32,148.3,1952-09-27T00:00:00Z
-42.32,148.3,1952-02-27T00:00:00Z
-38.5,148.5,1951-05-23T00:00:00Z
-31.135,111.7683,2003-10-03T12:28:00Z
-12.85,141.567,1991-01-16T00:00:00Z
-12.833,141.65,1989-01-12T00:00:00Z
-12.75,141.567,1991-02-16T00:00:00Z
-34.2568,151.3805,2010-09-20T17:46:12Z
-12.55,141.55,1991-11-06T00:00:00Z
-12.65,141.667,1989-01-14T00:00:00Z
-12.633,141.717,1992-03-06T00:00:00Z
-12.483,141.55,1987-12-18T00:00:00Z
-12.65,141.55,1989-03-09T00:00:00Z
-12.717,141.717,1990-03-28T00:00:00Z
-12.85,141.567,1991-12-07T00:00:00Z
-42.32,148.3,1950-05-02T00:00:00Z
-33.1755,152.767,2009-10-19T14:03:16Z
-33.7085,152.9803,2010-09-26T14:31:47Z
-14.09833,121.85167,2009-11-25T14:00:25Z
-14.22833,121.66,2008-12-05T02:00:05Z
-14.22333,121.65833,2008-12-05T14:00:05Z
-14.22667,121.65667,2008-07-01T02:00:01Z
-14.03667,121.855,2008-06-26T08:00:26Z
-14.09833,121.85167,2008-12-03T02:00:03Z
-14.0995,121.85282,2009-05-30T08:00:30Z
-12.65,141.55,1991-10-08T00:00:00Z
-12.633,141.717,1990-09-18T00:00:00Z
-12.55,141.45,1990-11-16T00:00:00Z
-33.9691,151.6732,2008-10-15T23:12:28Z
-35.27,150.98,1938-10-11T00:00:00Z
-35.6162,150.9242,2010-09-19T18:26:14Z
-12,139,1975-08-01T00:00:00Z
-12,140,1975-08-01T00:00:00Z
-13.5,136.4,1975-10-01T00:00:00Z
-12.25,141.5,1975-11-01T00:00:00Z
-13.5,136.4,1975-11-01T00:00:00Z
-14,140,1975-11-01T00:00:00Z
-15,140,1975-11-01T00:00:00Z
-12,139,1976-05-01T00:00:00Z
-16,140,1976-05-01T00:00:00Z
-16,140,1976-09-01T00:00:00Z
-16,141,1976-09-01T00:00:00Z
-12,141,1976-11-01T00:00:00Z
-12.25,141.5,1976-11-01T00:00:00Z
-13,140,1976-11-01T00:00:00Z
-14,140,1976-11-01T00:00:00Z
-15,136,1976-11-01T00:00:00Z
-13,138,1977-01-01T00:00:00Z
-14,138,1977-01-01T00:00:00Z
-17,140,1977-03-01T00:00:00Z
-12,139,1977-05-01T00:00:00Z
-13.5,136.4,1977-05-01T00:00:00Z
-14,139,1977-05-01T00:00:00Z
-12.75,141.75,1987-12-21T02:43:00Z
-12.65,141.65,1988-02-19T22:22:00Z
-12.75,141.75,1986-03-13T04:17:00Z
-12.65,141.15,1988-02-20T00:35:00Z
-12.55,141.45,1988-03-17T20:31:00Z
-12.55,141.25,1988-03-17T21:04:00Z
-12.65,141.65,1988-03-18T19:50:00Z
-12.65,141.15,1986-07-07T23:00:00Z
-12.65,141.15,1986-12-02T23:08:00Z
-12.65,141.15,1986-12-29T23:26:00Z
-12.65,141.65,1987-01-28T19:24:00Z
-12.65,141.15,1987-03-01T23:52:00Z
-12.55,141.25,1987-04-28T21:33:00Z
-12.55,141.45,1987-10-22T18:53:00Z
-12.55,141.25,1987-10-22T21:13:00Z
-12.55,141.45,1987-09-21T05:05:00Z
-11.65083,130.20783,2005-08-19T15:20:00Z
-19,147.9,1988-01-01T00:00:00Z
