SAMPLE,APHIA_ID,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,CELL_PER_LITRE,BIOVOLUME_UM3_PER_L
30,149230,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,40,376990.8
30,232069,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,40,848229.3
30,17329,Prasinophytes,Flagellate,(null),(null),6219,1628129.02
30,109553,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,40,4804035.65
30,115057,Prymnesiophytes,Flagellate,(null),(null),11194,5861159.74
30,149153,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,517,103400
30,160581,Raphidophytes,Flagellate,(null),(null),60,62831.8
30,109545,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,119,560773.82
30,149073,Skeletonema spp.,Centric diatom,Skeletonema,spp.,60,24630.07
30,146203,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),8706,2625665.52
31,146230,Chrysophyceae,Flagellate,(null),(null),19,14922.55
31,17638,Cryptophyta < 10 µm length,Flagellate,(null),(null),39505,31027128.24
31,149004,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,94,18800
31,17657,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,75,605246.95
31,146222,Flagellate <10 µm fusiform,Flagellate,(null),(null),116634,68703039.01
31,146222,Flagellate <10 µm round,Flagellate,(null),(null),158020,10342376.08
31,109392,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),38,28014.61
31,109476,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,75,7775435.25
31,149230,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,19,179070.63
31,109528,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,301,1063820.91
31,17329,Prasinophytes,Flagellate,(null),(null),18812,4924965.92
31,110245,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,19,726569.13
31,115057,Prymnesiophytes,Flagellate,(null),(null),15050,7880154.92
31,149153,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,226,45200
31,149186,Synedra spp.,Pennate diatom,Synedra,spp.,470,11280000
31,149092,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,169,84500
31,148912,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,38,119380.42
31,146203,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),30099,9077636.87
31,146203,Unid dinoflagellate > 10 µm,Dinoflagellate,(null),(null),470,2953094.6
32,149200,Amphora spp.,Pennate diatom,Amphora,spp.,19,1392771.57
32,149619,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,135,5608916.25
32,148985,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,19,111919.14
32,148985,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,39,14702.64
32,146230,Chrysophyceae,Flagellate,(null),(null),58,45553.06
32,17638,Cryptophyta < 10 µm length,Flagellate,(null),(null),14479,11371770.4
32,146537,Cyanobacteria cluster,Cyanobacteria,(null),(null),193,808435.83
32,149004,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,193,38600
32,109462,Dinophysis spp.,Dinoflagellate,Dinophysis,spp.,39,285884.69
32,17657,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,116,936115.28
32,146222,Flagellate <10 µm fusiform,Flagellate,(null),(null),39817,23454129.19
32,146222,Flagellate <10 µm round,Flagellate,(null),(null),91699,6001680.45
32,149112,Guinardia delicatula,Centric diatom,Guinardia,delicatula,77,613222.66
32,109476,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,58,6013003.26
32,232069,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,1207,25595319.13
