PROJECTNAME,TRIP_CODE,STATION,LONGITUDE,LATITUDE,SAMPLEDATELOCAL,BIOMASS_MGM3,SAMPLETYPE
NRS Ichthyoplankton,NSF20170627,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2017-06-27 10:20:00,,F
NRS Ichthyoplankton,NSF20170927,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2017-09-27 10:40:00,,F
NRS Ichthyoplankton,NSF20171023,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2017-10-23 10:25:00,,F
NRS Ichthyoplankton,NSF20180123,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2018-01-23 10:20:00,,F
NRS Ichthyoplankton,NSF20180913,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2018-09-13 10:20:00,,F
NRS Ichthyoplankton,NSF20190723,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2019-07-23 10:20:00,,F
NRS Ichthyoplankton,PHA20160926,Port Hacking A,151.21667,-34.08333,2016-09-27 09:54:00,,F
NRS Ichthyoplankton,PHA20170716,Port Hacking A,151.21667,-34.08333,2017-07-17 09:42:00,,F
NRS Ichthyoplankton,PHA20170921,Port Hacking A,151.21667,-34.08333,2017-09-22 08:48:00,,F
NRS Ichthyoplankton,PHA20180326,Port Hacking A,151.21667,-34.08333,2018-03-27 09:40:00,,F
NRS Ichthyoplankton,ROF20191011,Rottnest Island Ichthyo 34m,115.48333,-31.96666,2019-10-11 10:07:00,,F
NRS,DAR20200922_0330,Darwin,130.76805,-12.4,2020-09-22 13:00:00,591.36077,PZ
NRS,DAR20150202_2130,Darwin,130.76805,-12.4,2015-02-03 07:00:00,29.88895,Z
NRS,DAR20160724_0730,Darwin,130.76805,-12.4,2016-07-24 17:00:00,31.06065,PZ
NRS,DAR20120115_0540,Darwin,130.76805,-12.4,2012-01-15 15:10:00,219.85591,PZ
NRS,DAR20151117,Darwin,130.76805,-12.4,2015-11-18 08:16:00,12.2731,PZ
NRS,DAR20150505,Darwin,130.76805,-12.4,2015-05-06 08:24:00,30.54985,Z
NRS,ESP20120309,Esperance,121.85,-33.93333,2012-03-09 09:34:00,23.78763,Z
NRS,ESP20120229,Esperance,121.85,-33.93333,2012-02-29 10:00:00,,P
NRS,ESP20100322,Esperance,121.85,-33.93333,2010-03-22 09:40:00,12.27495,PZ
NRS,KAI20120415,Kangaroo Island,136.44733,-35.83217,2012-04-15 10:42:00,1.77876,PZ
NRS,KAI20120116,Kangaroo Island,136.44733,-35.83217,2012-01-17 07:00:00,3.46735,PZ
NRS,KAI20160915,Kangaroo Island,136.44733,-35.83217,2016-09-15 11:18:00,17.11931,FPZ
NRS,KAI20090205,Kangaroo Island,136.44733,-35.83217,2009-02-05 14:05:00,,P
NRS,KAI20140713,Kangaroo Island,136.44733,-35.83217,2014-07-13 16:13:00,3.87934,PZ
NRS,KAI20190514,Kangaroo Island,136.44733,-35.83217,2019-05-14 15:35:00,6.5245,FPZ
NRS,MAI20091207,Maria Island,148.23333,-42.59667,2009-12-07 11:10:00,57.09827,PZ
NRS,MAI20101027,Maria Island,148.23333,-42.59667,2010-10-27 12:50:00,13.44684,PZ
NRS,MAI20120326,Maria Island,148.23333,-42.59667,2012-03-27 10:40:00,3.88994,PZ
NRS,MAI20180315,Maria Island,148.23333,-42.59667,2018-03-16 08:45:00,23.33969,FPZ
NRS,MAI20190925,Maria Island,148.23333,-42.59667,2019-09-25 10:03:00,9.08597,PZ
NRS,MAI20200628,Maria Island,148.23333,-42.59667,2020-06-29 09:45:00,1.33908,PZ
NRS,MAI20100527,Maria Island,148.23333,-42.59667,2010-05-27 11:30:00,4.16401,PZ
NRS,MAI20121017,Maria Island,148.23333,-42.59667,2012-10-18 10:52:00,22.72084,PZ
NRS,MAI20130924,Maria Island,148.23333,-42.59667,2013-09-24 11:40:00,0.21723,PZ
NRS,MAI20111005,Maria Island,148.23333,-42.59667,2011-10-05 12:24:00,11.93507,PZ
NRS,MAI20131217,Maria Island,148.23333,-42.59667,2013-12-17 11:05:00,19.56467,PZ
NRS,MAI20101214,Maria Island,148.23333,-42.59667,2010-12-14 11:05:00,26.42513,PZ
NRS,MAI20141127,Maria Island,148.23333,-42.59667,2014-11-28 09:30:00,11.00502,FPZ
NRS,MAI20200928,Maria Island,148.23333,-42.59667,2020-09-29 09:00:00,4.99328,PZ
NRS,MAI20150224,Maria Island,148.23333,-42.59667,2015-02-25 10:20:00,4.54534,FPZ
NRS,NIN20110209,Ningaloo,113.779,-21.99,2011-02-09 10:15:00,59.31112,PZ
NRS,NSI20090916,North Stradbroke,153.562,-27.345,2009-09-17 08:30:00,15.22545,PZ
NRS,NSI20091101,North Stradbroke,153.562,-27.345,2009-11-02 09:02:00,15.22545,PZ
NRS,NSI20100322,North Stradbroke,153.562,-27.345,2010-03-23 09:15:00,41.88929,PZ
NRS,NSI20100411,North Stradbroke,153.562,-27.345,2010-04-12 08:35:00,17.15435,PZ
NRS,NSI20110412,North Stradbroke,153.562,-27.345,2011-04-13 09:25:00,9.83739,PZ
NRS,NSI20110816,North Stradbroke,153.562,-27.345,2011-08-16 10:00:00,16.5371,PZ
NRS,NSI20130819,North Stradbroke,153.562,-27.345,2013-08-19 10:10:00,5.21446,PZ
NRS,NSI20150817,North Stradbroke,153.562,-27.345,2015-08-17 10:30:00,15.57908,FPZ
NRS,NSI20161215,North Stradbroke,153.562,-27.345,2016-12-15 10:15:00,42.08861,FPZ
NRS,NSI20170627,North Stradbroke,153.562,-27.345,2017-06-27 10:20:00,9.23943,FPZ
NRS,NSI20180530,North Stradbroke,153.562,-27.345,2018-05-30 10:20:00,9.65736,FPZ
NRS,NSI20190821,North Stradbroke,153.562,-27.345,2019-08-21 10:40:00,10.04314,FPZ
NRS,NSI20210119,North Stradbroke,153.562,-27.345,2021-01-19 11:00:00,27.83082,PZ
NRS,NSI20110220,North Stradbroke,153.562,-27.345,2011-02-21 09:40:00,7.1305,PZ
NRS,NSI20090416,North Stradbroke,153.562,-27.345,2009-04-16 10:30:00,10.14601,Z
NRS,NSI20090114,North Stradbroke,153.562,-27.345,2009-01-14 10:30:00,18.88393,Z
NRS,NSI20121017,North Stradbroke,153.562,-27.345,2012-10-17 10:20:00,21.71942,PZ
NRS,NSI20150304,North Stradbroke,153.562,-27.345,2015-03-04 10:30:00,6.30107,FPZ
NRS,PH420020926,Port Hacking 4,151.21815,-34.11758,2002-09-26 00:00:00,,Z
NRS,PH420021120,Port Hacking 4,151.21815,-34.11758,2002-11-20 00:00:00,,Z
NRS,PH420051208,Port Hacking 4,151.21815,-34.11758,2005-12-08 00:00:00,,Z
NRS,PH420070115,Port Hacking 4,151.21815,-34.11758,2007-01-15 00:00:00,,Z
NRS,PH420080805,Port Hacking 4,151.21815,-34.11758,2008-08-05 00:00:00,,Z
NRS,PHB20091018,Port Hacking,151.22667,-34.11923,2009-10-19 09:55:00,19.84935,PZZ
NRS,PHB20110717,Port Hacking,151.22667,-34.11923,2011-07-18 09:38:00,0.41374,PZ
NRS,PHB20120212,Port Hacking,151.22667,-34.11923,2012-02-13 10:00:00,12.56453,PZ
NRS,PHB20130319,Port Hacking,151.22667,-34.11923,2013-03-20 09:27:00,2.04045,PZ
NRS,PHB20130422,Port Hacking,151.22667,-34.11923,2013-04-23 09:32:00,1.26246,PZ
