LATITUDE,LONGITUDE,SAMPLE_TIME_UTC
(null),(null),2008-01-23 00:00:00
-37.0912,149.914,2007-03-28 00:00:00
(null),(null),2013-09-12 00:00:00
-37.0912,149.914,2010-05-11 00:00:00
(null),(null),2011-11-22 00:00:00
-37.0912,149.914,2010-03-09 00:00:00
(null),(null),2012-10-29 00:00:00
-37.0763,149.892,2005-09-13 00:00:00
-37.0763,(null),2010-02-23 00:00:00
-28.2137,153.504,2007-11-20 00:00:00
-28.2137,153.504,2006-01-16 00:00:00
-28.2137,153.504,2005-11-14 00:00:00
-28.2137,153.504,2011-08-16 00:00:00
-28.1942,153.514,2012-12-12 00:00:00
-36.0389,150.108,2006-12-05 00:00:00
-28.2137,153.504,2006-09-27 00:00:00
-36.0683,150.131,2007-02-12 00:00:00
-36.0389,150.108,2013-08-31 00:00:00
-36.2126,150.117,2006-08-15 00:00:00
-36.2126,150.117,2007-10-16 00:00:00
-36.6234,150.017,2014-01-20 00:00:00
-36.6234,150.017,2007-06-11 00:00:00
-36.6015,150.013,2009-04-14 00:00:00
-36.2126,150.117,2010-02-21 00:00:00
-36.6015,150.013,2009-04-28 00:00:00
-28.1942,153.514,2007-10-09 00:00:00
-28.1942,153.514,2011-02-24 00:00:00
-36.2126,150.117,2011-04-17 00:00:00
-36.2126,150.117,2013-03-19 00:00:00
-36.2126,150.117,2011-03-28 00:00:00
-36.6015,150.013,2006-03-15 00:00:00
-36.6015,150.013,2013-09-18 00:00:00
-36.6015,150.013,2007-05-13 00:00:00
-36.6015,150.013,2013-09-03 00:00:00
-36.6234,150.017,2011-07-25 00:00:00
-36.6234,150.017,2010-02-22 00:00:00
-36.6234,150.017,2009-05-11 00:00:00
-36.6234,150.017,2009-10-26 00:00:00
-36.6015,150.013,2005-12-19 00:00:00
(null),(null),2011-06-07 00:00:00
(null),(null),2011-06-21 00:00:00
(null),(null),2011-03-10 00:00:00
-36.2265,150.077,2012-01-03 00:00:00
-36.2265,150.077,2014-07-20 00:00:00
(null),(null),2010-05-19 00:00:00
-36.2265,150.077,2007-09-02 00:00:00
-36.2265,150.077,2008-06-23 00:00:00
-36.2265,150.077,2007-03-13 00:00:00
-36.2265,150.077,2009-02-16 00:00:00
-36.2265,150.077,2011-09-26 00:00:00
-36.2265,150.077,2010-09-06 00:00:00
-36.2126,150.117,2009-05-19 00:00:00
-36.2265,150.077,2011-06-19 00:00:00
(null),(null),2009-04-24 00:00:00
(null),(null),2013-10-28 00:00:00
(null),(null),2009-08-04 00:00:00
-37.2408,149.926,2012-01-17 00:00:00
-37.2483,149.955,2010-12-17 00:00:00
-37.2483,149.955,2013-04-23 00:00:00
-37.2483,149.955,2012-01-03 00:00:00
-37.2483,149.955,2007-09-03 00:00:00
-29.99456667,153.4255,2011-10-11 00:45:00
(null),(null),2010-11-05 00:00:00
-31.76416667,115.7075,2000-01-25 00:00:00
-31.80166667,115.7075,1999-04-24 00:00:00
-37.2408,149.926,2006-06-06 00:00:00
-11.970315,132.0450317,2013-09-12 07:59:00
-16.41,145.5092,2001-08-25 00:00:00
-30.1282,153.2339667,2012-09-11 07:17:00
-32.16883333,152.7795,1999-01-25 23:12:00
-30.93361111,153.1766667,1998-11-17 00:00:00
-26.924,153.5199,1999-01-20 09:00:00
-27.9195,153.6951,1999-01-20 14:00:00
-29.0977,153.6242,1999-01-20 20:00:00
-30.5075,153.0817,1999-01-21 09:00:00
-30.5404,153.2432,1999-01-21 22:00:00
-31.0072,153.0921,1999-01-22 13:00:00
-31.0013,153.1005,1999-01-22 16:00:00
-30.9958,153.3547,1999-01-23 02:00:00
-31.3541,153.0972,1999-01-23 22:00:00
-32.70391667,151.6279333,2001-11-12 00:00:00
-30.9834,153.1726,1999-01-26 12:00:00
-31.2724,153.0284,1999-01-27 08:00:00
-30.9229,153.126,1998-11-17 13:00:00
-30.9759,153.2756,1998-11-17 19:00:00
-34.08527778,151.1947222,1998-11-26 00:00:00
-31.3227,153.0702,1998-11-18 11:00:00
-30.5415,153.2563333,1999-01-21 21:50:00
-30.40194444,153.3380918,1999-01-22 10:25:00
-31.7252,152.8304,1998-11-20 11:00:00
-31.7322,152.9207,1998-11-20 12:10:00
-31.7431,153.0376,1998-11-20 14:00:00
-31.7442,152.9985,1998-11-21 00:00:00
-30.9493,153.2383,1998-11-22 00:00:00
-31.7984,153.2314,1998-11-24 19:00:00
-34.0274,151.3142,1998-11-25 21:00:00
-17.979,146.101667,2011-02-18 06:20:00
-17.7867,146.1397167,2012-02-11 04:25:00
-17.75617,146.4287,2000-08-13 00:00:00
-18.00018333,146.14175,2014-02-19 00:24:00
-14.34135,144.1397167,2013-01-30 07:30:00
-17.74936667,146.14335,2014-02-05 04:00:00
-46.93473,142.25826,2012-04-17 00:00:00
-38.05703354,144.8704071,2017-06-07 00:00:00
-38.02932358,144.5928192,2017-05-10 00:00:00
-18.09,147.14,1986-01-23 00:00:00
-13.08333,143.85,1982-03-16 00:00:00
-15.32,147.02,1980-11-18 00:00:00
-38.02932358,144.5928192,2016-12-07 00:00:00
-38.02932358,144.5928192,2016-04-22 00:00:00
-38.05703354,144.8704071,2016-09-20 00:00:00
-40.98897,143.26178,1979-09-01 05:00:00
-40.98631,149.05638,1980-08-06 04:00:00
-39.02578,147.8266,1981-09-08 08:00:00
-39.93685,143.25208,1979-02-14 17:00:00
-39.94995,149.05638,1981-08-30 20:00:00
-40.98897,143.26178,1979-03-02 12:00:00
-40.97802,144.79574,1982-09-15 14:00:00
-16.897,145.768,2009-11-08 00:00:00
-39.93685,143.25208,1980-10-16 16:00:00
-39.02578,147.8266,1980-01-22 04:00:00
-39.00279,144.76821,1980-10-09 14:00:00
-39.94153,147.86093,1980-10-09 15:00:00
-39.9331,144.79574,1982-09-02 18:00:00
-40.96972,145.6307,1979-09-03 21:00:00
-40.97802,144.79574,1981-09-05 05:00:00
-40.98897,143.26178,1980-10-04 17:00:00
-39.02578,147.8266,1982-03-01 10:00:00
-40.98897,143.26178,1980-01-30 16:00:00
-39.00279,144.76821,1980-10-31 13:00:00
-40.98897,143.26178,1980-10-06 03:00:00
-40.96972,145.6307,1980-02-13 14:00:00
-40.96972,145.6307,1982-03-15 15:00:00
-39.03432,149.0399,1980-08-08 02:00:00
-39.93685,143.25208,1980-08-13 01:00:00
-33.58666167,151.12044167,2012-05-23 00:00:00
-33.59869667,151.12327333,2008-07-03 00:00:00
-33.546255,151.23186833,2004-12-21 00:00:00
-33.58666167,151.12044167,2004-04-07 00:00:00
-33.546255,151.23186833,2005-03-30 00:00:00
-33.58666167,151.12044167,2006-01-25 00:00:00
-33.546255,151.23186833,2009-03-10 00:00:00
-33.52909333,151.14368333,2011-01-13 00:00:00
-33.47255,151.13343,2011-11-09 00:00:00
-33.52909333,151.14368333,2012-06-20 00:00:00
-33.58666167,151.12044167,2012-07-06 00:00:00
-33.47255,151.13343,2012-11-14 00:00:00
-33.52909333,151.14368333,2012-11-14 00:00:00
-33.52909333,151.14368333,2013-03-06 00:00:00
-33.56866833,151.24104667,2012-03-15 00:00:00
-33.40256333,151.01783833,2014-01-10 00:00:00
-33.58666167,151.12044167,2014-01-16 00:00:00
-33.40256333,151.01783833,2014-04-09 00:00:00
-33.40256333,151.01783833,2014-06-18 00:00:00
-33.52909333,151.14368333,2015-11-11 00:00:00
-33.52747333,151.2361,2015-04-29 00:00:00
-33.56866833,151.24104667,2016-08-10 00:00:00
-33.52909333,151.14368333,2016-09-28 00:00:00
-33.546255,151.23186833,2016-12-06 00:00:00
-33.58666167,151.12044167,2017-04-24 00:00:00
-33.47255,151.13343,2017-09-07 00:00:00
-33.52747333,151.2361,2017-01-18 00:00:00
-33.59869667,151.12327333,2018-04-10 00:00:00
-33.58666167,151.12044167,2018-12-06 00:00:00
-33.52909333,151.14368333,2018-11-21 00:00:00
-33.58666167,151.12044167,2019-04-23 00:00:00
-33.58666167,151.12044167,2019-10-18 00:00:00
-34.11758,151.21815,1965-12-07 00:00:00
-34.11758,151.21815,1965-06-21 00:00:00
-34.11758,151.21815,1978-05-26 00:00:00
-34.11758,151.21815,1965-09-21 00:00:00
-43.1832,146.9815,1997-02-17 23:32:00
-43.2002,147.0993,1997-04-29 00:07:00
