TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Peridiniella catenata,2008-09-29,,,
Gonyaulax ceratocoroides,2008-09-29,,,
Gonyaulax milneri,2008-09-29,,,
Gonyaulax minuta,2008-09-29,,,
Gonyaulax polyedra,2008-09-29,,,
Lioloma cf. spp.,2008-09-29,,,
Chaetoceros neglectus,2008-09-29,,,
Tryblionella spp.,2008-09-29,,,
Haslea wawrikae,2008-09-29,,,
Amphora proteus,2008-09-29,,,
Amphora veneta,2008-09-29,,,
Attheya spp.,2008-09-29,,,
Bacteriastrum elegans,2008-09-29,,,
Bacteriastrum elongatum,2012-08-07,,,
Bacteriastrum mediterraneum,2008-09-29,,,
Bacteriastrum minus,2008-09-29,,,
Bacteriastrum solitarium,2008-09-29,,,
Codonellopsis morchella,2012-08-07,,,Ciliates not previously counted in NRS samples
Biddulphia azorica,2008-09-29,,,
Odontella aurita var. obtusa,2008-09-29,,,
Isthmia spp.,2008-09-29,,,
Cerataulina bicornis,2008-09-29,,,
Cerataulina curvata,2008-09-29,,,
Tripos bigelowii,2008-09-29,,,
Tripos gracilis,2008-09-29,,,
Tripos hircus,2008-09-29,,,
Tripos pennatus,2008-09-29,,,
Tripos strictus,2008-09-29,,,
Chaetoceros constrictus,2008-09-29,,,
Chaetoceros costatus,2008-09-29,,,
Chaetoceros crinitus,2008-09-29,,,
Chaetoceros dadayi,2008-09-29,,,
Chaetoceros densus,2008-09-29,,,
Chaetoceros flexuosus,2008-09-29,,,
Chaetoceros frickei,2008-09-29,,,
Chaetoceros furcellatus,2008-09-29,,,
Chaetoceros hendeyi,2008-09-29,,,
Chaetoceros holsaticus,2008-09-29,,,
Chaetoceros karianus,2008-09-29,,,
Chaetoceros neogracile,2008-09-29,,,
Chaetoceros pelagicus,2008-09-29,,,
Chaetoceros perpusillus,2008-09-29,,,
Chaetoceros peruvianus,2008-09-29,,,
Chaetoceros rigidus,2008-09-29,,,
Chaetoceros saltans,2008-09-29,,,
Chaetoceros seiracanthus,2008-09-29,,,
Chaetoceros siamense,2008-09-29,,,
Chaetoceros subsecundus,2008-09-29,,,
Chaetoceros tetrastichon,2008-09-29,,,
Chaetoceros tortissimus,2008-09-29,,,
Chaetoceros vistulae,2008-09-29,,,
Chaetoceros wighamii,2008-09-29,,,
Chrysochromulina spp.,2008-09-29,,,
Corethron pelagicum,2008-09-29,,,
Coscinodiscus eccentricus,2008-09-29,,,
Coscinodiscus gracilis,2008-09-29,,,
Coscinodiscus nitidus,2008-09-29,,,
Coscinodiscus oculus-iridis,2008-09-29,,,
Coscinodiscus rothii,2008-09-29,,,
Coscinodiscus subtilis,2008-09-29,,,
Coscinodiscus tabularis,2008-09-29,,,
Oxytoxum parvum,2008-09-29,,,
Protorhabdonella simplex,2012-08-07,,,Tintinnids not previously counted in NRS samples
Lithodesmium cf. undulatum,2008-09-29,,,
Rhizosolenia styliformis group,2013-02-08,,,
Thalassiosira cf. partheneia,2008-09-29,,,
Apedinella spp.,2008-09-29,,,
Cryptomonadales,2008-09-29,,,
Dinophysis schuettii,2008-09-29,,,
Heterocapsa niei,2008-09-29,,,
Dactyliosolen blavyanus,2008-09-29,,,
Brachidinium capitatum,2008-09-29,,,
Phalacroma rotundatum,2008-09-29,,,
Licmophora cf. gracilis,2008-09-29,,,
Trigonium cf. spp.,2008-09-29,,,
Euglenida,2008-09-29,,,
Choanoflagellatea,2008-09-29,,,
Diplopsalis lenticula f. minor,2008-09-29,,,
Citharistes apsteinii,2008-09-29,,,
Glaphyrocysta retiintexta,2008-09-29,,,
Gomphonemopsis exigua,2008-09-29,,,
Goniomonas amphinema,2008-09-29,,,
Goniomonas pacifica,2008-09-29,,,
Gonyaulax digitalis,2008-09-29,,,
Gonyaulax membranacea,2008-09-29,,,
Halamphora coffeaeformis,2008-09-29,,,
Haptolina brevifila,2008-09-29,,,
Haptolina ericina,2008-09-29,,,
Haptolina fragaria,2008-09-29,,,
Haptolina herdlensis,2008-09-29,,,
Haptolina hirta,2008-09-29,,,
Haslea trompii,2008-09-29,,,
Hayaster perplexus,2008-09-29,,,
Helicosphaera burkei,2008-09-29,,,
Helkesimastix faecicola,2008-09-29,,,
Hemiselmis simplex,2008-09-29,,,
Heterocapsa rotundata,2008-09-29,,,
Heterodinium australiae,2008-09-29,,,
Heterodinium crassipes,2008-09-29,,,
Heterodinium fenestratum,2008-09-29,,,
Heterodinium hindmarchii,2008-09-29,,,
Heterodinium mediterraneum,2008-09-29,,,
Heterodinium varicator,2008-09-29,,,
Heterosigma akashiwo,2008-09-29,,,
Histioneis aequatorialis,2008-09-29,,,
Histioneis australiae,2008-09-29,,,
Histioneis cerasus,2008-09-29,,,
Histioneis crateriformis,2008-09-29,,,
Histioneis cymbalaria,2008-09-29,,,
Histioneis diamantinae,2008-09-29,,,
Histioneis elongata,2008-09-29,,,
Histioneis highleyi,2008-09-29,,,
Histioneis hyalina,2008-09-29,,,
Histioneis inclinata,2008-09-29,,,
Histioneis joergensenii,2008-09-29,,,
Histioneis lanceolata,2008-09-29,,,
Histioneis longicollis,2008-09-29,,,
Histioneis moresbyensis,2008-09-29,,,
Histioneis oxypteris,2008-09-29,,,
Histioneis panaria,2008-09-29,,,
Histioneis pietschmannii,2008-09-29,,,
Histioneis planeta,2008-09-29,,,
Histioneis remora,2008-09-29,,,
Histioneis simplex,2008-09-29,,,
Histioneis tubifera,2008-09-29,,,
Histioneis variabilis,2008-09-29,,,
Histioneis vouckii,2008-09-29,,,
Imantonia rotunda,2008-09-29,,,
Isabelidinium spp.,2008-09-29,,,
Isochrysis spp.,2008-09-29,,,
Isoselmis obconica,2008-09-29,,,
Karlodinium veneficum,2008-09-29,,,
Katodinium spp.,2008-09-29,,,
Kryptoperidinium foliaceum,2008-09-29,,,
Mamiella gilva,2008-09-29,,,
Mantoniella spp.,2008-09-29,,,
Mantoniella squamata,2008-09-29,,,
Meridion circulare,2008-09-29,,,
Mesoporos spp.,2008-09-29,,,
Metanema strenuum,2008-09-29,,,
Micracanthodinium setiferum,2008-09-29,,,
Micromonas spp.,2008-09-29,,,
Minuscula bipes,2008-09-29,,,
Tintinnopsis spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Minutocellus polymorphus,2008-09-29,,,
Nannochloropsis spp.,2008-09-29,,,
Navicymbula pusilla,2008-09-29,,,
Nematodinium torpedo,2008-09-29,,,
Tripos uncinus,2008-09-29,,,
Nephroselmis rotunda,2008-09-29,,,
Nodularia spumigena,2008-09-29,,,
Oligosphaeridium complex,2008-09-29,,,
Opephora mutabilis,2008-09-29,,,
Operculodinium spp.,2008-09-29,,,
Operculodinium israelianum,2008-09-29,,,
Ophiaster hydroideus,2008-09-29,,,
Ornithocercus formosus,2008-09-29,,,
Ornithocercus geniculatus,2008-09-29,,,
Ostreopsis mascarenensis,2008-09-29,,,
Palaeocystodinium spp.,2008-09-29,,,
Palaeoperidinium spp.,2008-09-29,,,
Papiliocellulus simplex,2008-09-29,,,
Parahistioneis garrettii,2008-09-29,,,
Parahistioneis gascoynensis,2008-09-29,,,
Parahistioneis pachypus,2008-09-29,,,
Parahistioneis paraformis,2008-09-29,,,
Paraphysomonas spp.,2008-09-29,,,
Paraphysomonas antarctica,2008-09-29,,,
Paraphysomonas bandaiensis,2008-09-29,,,
Paraphysomonas butcheri,2008-09-29,,,
Paraphysomonas cylicophora,2008-09-29,,,
Paraphysomonas foraminifera,2008-09-29,,,
Paraphysomonas imperforata,2008-09-29,,,
Paraphysomonas vestita,2008-09-29,,,
Parvicorbicula pulchella,2008-09-29,,,
Pavlova pinguis,2008-09-29,,,
Pelagococcus spp.,2008-09-29,,,
Pelagococcus subviridis,2008-09-29,,,
Pentapharsodinium dalei,2008-09-29,,,
Peranemopsis trichophora,2008-09-29,,,
Peridiniella danica,2008-09-29,,,
Peridiniopsis polonicum,2008-09-29,,,
Periphyllophora mirabilis,2008-09-29,,,
Petalomonas spp.,2008-09-29,,,
Petalomonas abscissa,2008-09-29,,,
Petalomonas minuta,2008-09-29,,,
Petalomonas pusilla,2008-09-29,,,
Petasaria heterolepis,2008-09-29,,,
Phaeocystis globosa,2008-09-29,,,
Phaeocystis scrobiculata,2008-09-29,,,
Phalacroma circumsutum,2008-09-29,,,
Phalacroma cuneolus,2008-09-29,,,
Phalacroma lenticulum,2008-09-29,,,
Phalacroma sphaeroideum,2008-09-29,,,
Phalacroma striatum,2008-09-29,,,
Pleurasiga minima,2008-09-29,,,
Pleurasiga orculaeformis,2008-09-29,,,
Ploeotia spp.,2008-09-29,,,
Ploeotia corrugata,2008-09-29,,,
Ploeotia costata,2008-09-29,,,
Ploeotia vitrea,2008-09-29,,,
Polarella spp.,2008-09-29,,,
Polarella glacialis,2008-09-29,,,
Polyfibula sphyrelata,2008-09-29,,,
Gonyaulax striata,2008-09-29,,,
Gonyaulax tamarense,2008-09-29,,,
Grammatophora marina,2008-09-29,,,
Guinardia tubiformis,2008-09-29,,,
Gymnodinium abbreviatum,2008-09-29,,,
Gymnodinium agiliforme,2008-09-29,,,
Gymnodinium albulum,2008-09-29,,,
Gymnodinium arcuatum,2008-09-29,,,
Gymnodinium aurantium,2008-09-29,,,
Gymnodinium biconicum,2008-09-29,,,
Rhizosolenia imbricata (with Richelia),2015-02-01,,Hobart phytoplankton workshop Feb2015,
Gymnodinium boguense,2008-09-29,,,
Gymnodinium coeruleum,2008-09-29,,,
Gymnodinium costatum,2008-09-29,,,
Gymnodinium diploconus,2008-09-29,,,
Gymnodinium dorsalisulcum,2008-09-29,,,
Gymnodinium flavum,2008-09-29,,,
Gymnodinium frigidum,2008-09-29,,,
Gymnodinium fusus,2008-09-29,,,
Plagiogrammopsis spp.,2008-09-29,,,
Gymnodinium galeaeforme,2008-09-29,,,
Gymnodinium gelbum,2008-09-29,,,
Gymnodinium grammaticum,2008-09-29,,,
Gymnodinium marinum,2008-09-29,,,
Gymnodinium minor,2008-09-29,,,
Gymnodinium multistriatum,2008-09-29,,,
Gymnodinium nolleri,2008-09-29,,,
Gymnodinium ochraceum,2008-09-29,,,
Gymnodinium ostenfeldii,2008-09-29,,,
Gymnodinium pygmaeum,2008-09-29,,,
Gymnodinium rubrum,2008-09-29,,,
Gymnodinium scopulosum,2008-09-29,,,
Gymnodinium situla,2008-09-29,,,
Gymnodinium sphaericum,2008-09-29,,,
Gymnodinium sphaeroideum,2008-09-29,,,
Gymnodinium splendens,2008-09-29,,,
Gymnodinium sulcatum,2008-09-29,,,
Gymnodinium variabile,2008-09-29,,,
Gyrodinium caudatum,2008-09-29,,,
Gyrodinium cornutum,2008-09-29,,,
Gyrodinium fusiforme,2008-09-29,,,
Gyrodinium glaciale,2008-09-29,,,
Gyrodinium nasutum,2008-09-29,,,
Gyrodinium ochraceum,2008-09-29,,,
Gyrodinium ovum,2008-09-29,,,
Gyrodinium pingue,2008-09-29,,,
Gyrodinium prunus,2008-09-29,,,
Gyrodinium striatissimum,2008-09-29,,,
Gyrodinium submarinum,2008-09-29,,,
Haslea spp.,2008-09-29,,,
Leptocylindrus adriaticus,2008-09-29,,,
Licmophora abbreviata,2008-09-29,,,
Licmophora ehrenbergii,2012-08-07,Licmophora spp. < 150 µm,,Licmophora not previoulsy speciated in NRS samples
Licmophora flabellata,2008-09-29,,,
Licmophora spp.,2008-09-29,,,
Lingulodinium spp.,2008-09-29,,,
Melosira adeliae,2008-09-29,,,
Melosira crenulata,2008-09-29,,,
Melosira granulata,2008-09-29,,,
Psammodictyon cf. spp.,2008-09-29,,,
Navicula crucigera,2008-09-29,,,
Synedropsis spp.,2008-09-29,,,
Navicula directa,2008-09-29,,,
Navicula florinae,2008-09-29,,,
Navicula glaciei,2008-09-29,,,
Navicula grevillei,2008-09-29,,,
Micromonas cf. spp.,2008-09-29,,,
Navicula jeffreyae,2008-09-29,,,
Odontella longicruris,2008-09-29,,,
Acanthoica cf. quattrospina,2008-09-29,,,
Navicula radiosa,2008-09-29,,,
Anomoeoneis spp.,2008-09-29,,,
Gomphonema spp.,2008-09-29,,,
Nephroselmis spp.,2008-09-29,,,
Nitzschia acicularis,2008-09-29,,,
Nitzschia angularis,2008-09-29,,,
Nitzschia barronii,2008-09-29,,,
Nitzschia bilobata,2008-09-29,,,
Nitzschia cylindrus,2008-09-29,,,
Nitzschia delicatissima,2008-09-29,,,
Nitzschia dietrichii,2008-09-29,,,
Nitzschia frigida,2008-09-29,,,
Nitzschia frustulum,2008-09-29,,,
Nitzschia gracilis,2008-09-29,,,
Mallomonas spp.,2008-09-29,,,
Tryblionella hungarica,2008-09-29,,,
Oocystis spp.,2008-09-29,,,
Nitzschia lanceolata,2008-09-29,,,
Pennate diatom > 1000 µm,2008-09-29,,,
Nitzschia oceanica,2008-09-29,,,
Nitzschia pacifica,2008-09-29,,,
Nitzschia paleacea,2008-09-29,,,
Nitzschia praecurta,2008-09-29,,,
Thalassiosira spp. 80-100 µm,2008-09-29,,,
Nitzschia pungens,2008-09-29,,,
Odontella litigiosa,2008-09-29,,,
Odontella rhombus,2008-09-29,,,
Oxytoxum belgicae,2008-09-29,,,
Oxytoxum challengeroides,2008-09-29,,,
Oxytoxum compressum,2008-09-29,,,
Oxytoxum constrictum,2008-09-29,,,
Oxytoxum coronatum,2008-09-29,,,
Oxytoxum crassum,2008-09-29,,,
Oxytoxum cribosum,2008-09-29,,,
Oxytoxum curvatum,2008-09-29,,,
Oxytoxum gladiolus,2008-09-29,,,
Oxytoxum gracile,2008-09-29,,,
Oxytoxum latum,2008-09-29,,,
Oxytoxum longiceps,2008-09-29,,,
Oxytoxum longum,2008-09-29,,,
Oxytoxum mediterraneum,2008-09-29,,,
Oxytoxum milneri,2008-09-29,,,
Oxytoxum mitra,2008-09-29,,,
Oxytoxum obliquum,2008-09-29,,,
Oxytoxum pachyderme,2008-09-29,,,
Oxytoxum robustum,2008-09-29,,,
Oxytoxum sceptrum,2008-09-29,,,
Oxytoxum sphaeroideum,2008-09-29,,,
Oxytoxum tesselatum,2008-09-29,,,
Pavlova spp.,2008-09-29,,,
Protoperidinium adeliense,2008-09-29,,,
Protoperidinium avellana,2008-09-29,,,
Peridinium cinctum,2008-09-29,,,
Protoperidinium curtum,2008-09-29,,,
Thalassiosira spp. 60-80 µm,2008-09-29,,,
Protoperidinium fatulipes,2008-09-29,,,
Protoperidinium longispinum,2008-09-29,,,
Acanthostomella norvegica,2008-09-29,,,
Archaeperidinium minutum,2008-09-29,,,
Skeletonema cf. menzelii,2008-09-29,,,
Pseudosphaerocystis cf. spp.,2008-09-29,,,
Anabaena cf. spp.,2008-09-29,,,
Microcystis cf. spp.,2008-09-29,,,
Dictyosphaerium spp.,2008-09-29,,,
Epiplocylis cf. undella,2012-08-07,,,Ciliates not previously counted in NRS samples
Peridinium raphanum,2008-09-29,,,
Anisonema spp.,2008-09-29,,,
Plagiodiscus spp.,2008-09-29,,,
Pleurosigma angulatum,2008-09-29,,,
Pleurosigma delicatulum,2008-09-29,,,
Pleurosigma elongatum,2008-09-29,,,
Gyroosigma fasciola,2008-09-29,,,
Pleurosigma formosum,2008-09-29,,,
Pleurosigma inflatum,2008-09-29,,,
Pleurosigma spenceri,2008-09-29,,,
Pleurosigma strigosum,2008-09-29,,,
Podolampas antarctica,2008-09-29,,,
Podolampas curvatus,2008-09-29,,,
Polykrikos beauchampii,2008-09-29,,,
Polykrikos kofoidii,2008-09-29,,,
Preperidinium perlatum,2008-09-29,,,
Prorocentrum antarcticum,2008-09-29,,,
Prorocentrum arcuatum,2008-09-29,,,
Prorocentrum balticum,2008-09-29,,,
Prorocentrum fukuyoi,2008-09-29,,,
Prorocentrum hoffmannianum,2008-09-29,,,
Prorocentrum magnum,2008-09-29,,,
Ankyra spp.,2008-09-29,,,
Prorocentrum maximum,2008-09-29,,,
Prorocentrum mexicanum,2008-09-29,,,
Kryptoperidinium cf. spp.,2008-09-29,,,
Prorocentrum rotundatum,2008-09-29,,,
Prorocentrum schillerii,2008-09-29,,,
Pedinella spp.,2008-09-29,,,
Prorocentrum vaginulum,2008-09-29,,,
Pseudo-nitzschia australis,2008-09-29,,,
Pseudo-nitzschia delicatissima,2008-09-29,,,
Pseudo-nitzschia inflatula,2008-09-29,,,
Pseudo-nitzschia prolongatoides,2008-09-29,,,
Pseudo-nitzschia pseudodelicatissima,2008-09-29,,,
Pseudo-nitzschia subcurvata,2008-09-29,,,
Pseudo-nitzschia turgidula,2008-09-29,,,
Pseudo-nitzschia turgiduloides,2008-09-29,,,
Pyrocystis hamulus,2008-09-29,,,
Pyrocystis lanceolata,2008-09-29,,,
Pyrocystis obtusa,2008-09-29,,,
Rhizosolenia antennata,2008-09-29,,,
Selenastrum obesum,2008-09-29,,,
Coccolithophore,2008-09-29,,,
Eutintinnus cf. lusus-undae,2012-08-07,,,Ciliates not previously counted in NRS samples
Rhizosolenia rhombus,2008-09-29,,,
Skeletonema ardens,2008-09-29,,,
Skeletonema dohrnii,2008-09-29,,,
Skeletonema pseudocostatum,2008-09-29,,,
Skeletonema tropicum,2008-09-29,,,
Striatella unipunctata,2008-09-29,,,
Surirella fastuosa,2008-09-29,,,
Thalassiosira ambigua,2008-09-29,,,
Thalassiosira antarctica,2008-09-29,,,
Thalassiosira complicata,2008-09-29,,,
Thalassiosira elliptipora,2008-09-29,,,
Thalassiosira frenguelliopsis,2008-09-29,,,
Thalassiosira gracilis,2008-09-29,,,
Thalassiosira insigna,2008-09-29,,,
Thalassiosira inura,2008-09-29,,,
Thalassiosira lentiginosa,2008-09-29,,,
Thalassiosira maculata,2008-09-29,,,
Thalassiosira mediterranea,2008-09-29,,,
Thalassiosira minima,2008-09-29,,,
Thalassiosira oestrupii,2008-09-29,,,
Thalassiosira pacifica,2008-09-29,,,
Thalassiosira perpusilla,2008-09-29,,,
Thalassiosira profunda,2008-09-29,,,
Thalassiosira pseudonana,2008-09-29,,,
Thalassiosira striata,2008-09-29,,,
Thalassiosira trifulta,2008-09-29,,,
Thalassiosira tubifera,2008-09-29,,,
Thalassiosira tumida,2008-09-29,,,
Thalassiosira vulnifica,2008-09-29,,,
Thalassiosira webbii,2008-09-29,,,
Thalassiothrix longissima var. gibberula,2008-09-29,,,
Thalassiothrix heteromorpha,2008-09-29,,,
Thalassiothrix mediterranea,2008-09-29,,,
Umbellosphaera spp.,2008-09-29,,,
Umbilicosphaera spp.,2008-09-29,,,
Acanthoica acanthifera,2008-09-29,,,
Achnanthes brevipes,2008-09-29,,,
Achnanthes longipes,2008-09-29,,,
Achnanthes reversa,2008-09-29,,,
Achnanthes vicentii,2008-09-29,,,
Actiniscus spp.,2008-09-29,,,
Actinocyclus actinochilus,2008-09-29,,,
Actinocyclus curvatulus,2008-09-29,,,
Actinocyclus dimorphus,2008-09-29,,,
Actinocyclus ingens,2008-09-29,,,
Actinocyclus octonarius var. tenella,2008-09-29,,,
Actinomonas mirabilis,2008-09-29,,,
Algirosphaera quadricornu,2008-09-29,,,
Alisphaera unicornis,2008-09-29,,,
Amphidinium amphidinioides,2008-09-29,,,
Amphidinium bipes,2008-09-29,,,
Amphidinium boggayum,2008-09-29,,,
Amphidinium carterae,2008-09-29,,,
Amphidinium cucurbita,2008-09-29,,,
Amphidinium emarginatum,2008-09-29,,,
Amphidinium extensum,2008-09-29,,,
Amphidinium flagellans,2008-09-29,,,
Amphidinium sphenoides,2008-09-29,,,
Amphidinium steinii,2008-09-29,,,
Amphidinium turbo,2008-09-29,,,
Amphidinium vasculum,2008-09-29,,,
Amphidoma nucula,2008-09-29,,,
Amphisolenia astragalus,2008-09-29,,,
Amphisolenia bifurcata,2008-09-29,,,
Amphisolenia brevicauda,2008-09-29,,,
Amphisolenia globifera,2008-09-29,,,
Amphisolenia lemmermannii,2008-09-29,,,
Amphisolenia palaeotheroides,2008-09-29,,,
Amphisolenia rectangulata,2008-09-29,,,
Amphisolenia schauinslandii,2008-09-29,,,
Amphisolenia schroederi,2008-09-29,,,
Amylax triacantha,2008-09-29,,,
Apedinella radians,2008-09-29,,,
Arachnoidiscus ornatus,2008-09-29,,,
Asterionella formosa,2008-09-29,,,
Asterionella notata,2008-09-29,,,
Asteromphalus brookei,2008-09-29,,,
Asteromphalus cleveanus,2008-09-29,,,
Asteromphalus parvulus,2008-09-29,,,
Attheya septentrionalis,2008-09-29,,,
Azpeitia tabularis,2008-09-29,,,
Balechina coerulea,2008-09-29,,,
Batiacasphaera compta,2008-09-29,,,
Blepharocysta paulsenii,2008-09-29,,,
Calliacantha simplex,2008-09-29,,,
Calyptrosphaera spp.,2008-09-29,,,
Calyptrosphaera oblonga,2008-09-29,,,
Campylodiscus undulatus,2008-09-29,,,
Caneosphaera halldalii,2008-09-29,,,
Carduifolia spp.,2008-09-29,,,
Centrodinium biconicum,2008-09-29,,,
Centrodinium complanatum,2008-09-29,,,
Centrodinium eminens,2008-09-29,,,
Centrodinium intermedium,2008-09-29,,,
Ceratocorys bipes,2008-09-29,,,
Ceratocorys indica,2008-09-29,,,
Chaetoceros socialis f. radians,2008-09-29,,,
Chattonella spp.,2008-09-29,,,
Chroomonas spp.,2008-09-29,,,
Chroomonas collegionis,2008-09-29,,,
Chroomonas extensa,2008-09-29,,,
Chrysochromulina acantha,2008-09-29,,,
Chrysochromulina adriatica,2008-09-29,,,
Chrysochromulina alifera,2008-09-29,,,
Chrysochromulina apheles,2008-09-29,,,
Chrysochromulina camella,2008-09-29,,,
Chrysochromulina cyathophora,2008-09-29,,,
Chrysochromulina ephippium,2008-09-29,,,
Chrysochromulina latilepis,2008-09-29,,,
Chrysochromulina leadbeateri,2008-09-29,,,
Chrysochromulina mactra,2008-09-29,,,
Chrysochromulina mantoniae,2008-09-29,,,
Chrysochromulina novae-zelandiae,2008-09-29,,,
Chrysochromulina pachycylindra,2008-09-29,,,
Chrysochromulina parkeae,2008-09-29,,,
Chrysochromulina pyramidosa,2008-09-29,,,
Chrysochromulina scutellum,2008-09-29,,,
Chrysochromulina simplex,2008-09-29,,,
Chrysochromulina spinifera,2008-09-29,,,
Chrysolepidomonas spp.,2008-09-29,,,
Chrysolepidomonas marina,2008-09-29,,,
Ciliophrys infusionum,2008-09-29,,,
Citharistes regius,2008-09-29,,,
Cladopyxis caryophyllum,2008-09-29,,,
Climacosphenia moniligera,2008-09-29,,,
Coccolithus formosus,2008-09-29,,,
Cocconeis antiqua,2008-09-29,,,
Cocconeis grata,2008-09-29,,,
Cocconeis heteroidea,2008-09-29,,,
Cocconeis pediculus,2008-09-29,,,
Cocconeis pelta,2008-09-29,,,
Cocconeis peltoides,2008-09-29,,,
Cocconeis placentula,2008-09-29,,,
Cocconeis scutellum,2008-09-29,,,
Cocconeis sublittoralis,2008-09-29,,,
Coccopterum labyrinthus,2008-09-29,,,
Cochlodinium faurei,2008-09-29,,,
Cochlodinium flavum,2008-09-29,,,
Cochlodinium pupa,2008-09-29,,,
Cochlodinium rosaceum,2008-09-29,,,
Corymbellus aureus,2008-09-29,,,
Chaetoceros spp. 40-50 µm,2008-09-29,,,
Cryptomonas profunda,2008-09-29,,,
Cyclotella choctawhatcheeana,2008-09-29,,,
Cyclotella meneghiniana,2008-09-29,,,
Cymbomonas tetramitiformis,2008-09-29,,,
Diacronema lutheri,2008-09-29,,,
Dictyocha spp.,2012-08-07,,,Silicofalgellates not previously counted in NRS samples
Didymoeca costata,2008-09-29,,,
Dinematomonas litoralis,2008-09-29,,,
Dinothrix paradoxa,2008-09-29,,,
Dolichomastix spp.,2008-09-29,,,
Dunaliella salina,2008-09-29,,,
Emiliania spp.,2008-09-29,,,
Entomoneis alata,2008-09-29,,,
Entomoneis paludosa var. hyperborea,2008-09-29,,,
Entomoneis punctulata,2008-09-29,,,
Ethmodiscus gazellae,2008-09-29,,,
Eucampia antarctica var. antarctica,2008-09-29,,,
Eutreptia viridis,2008-09-29,,,
Eutreptiella gymnastica,2008-09-29,,,
Extubocellulus spinifer,2008-09-29,,,
Fallacia carpentariae,2008-09-29,,,
Fibrocapsa japonica,2008-09-29,,,
Florisphaera profunda,2008-09-29,,,
Gephyrocapsa spp.,2008-09-29,,,
Gephyrocapsa caribbeanica,2008-09-29,,,
Glaphyrocysta intricata,2008-09-29,,,
Glaphyrocysta ordinata,2008-09-29,,,
Amphora robusta,2008-09-29,,,
Amphora spectabilis,2008-09-29,,,
Campylodiscus adriaticus,2008-09-29,,,
Corythodinium diploconus,2008-09-29,,,
Coscinodiscus argus,2008-09-29,,,
Amphora angusta,2008-09-29,,,
Amphora gigantea,2008-09-29,,,
Campylodiscus biangulatus,2008-09-29,,,
Ciliophora,2008-09-29,,,
Cochlodinium cavatum,2008-09-29,,,
Mastogloia mediterranea,2008-09-29,,,
Lyrella spectabilis,2008-09-29,,,
Nitzschia lecointei,2008-09-29,,,
Pinnularia brevicostata,2008-09-29,,,
Thecadinium kofoidii,2008-09-29,,,
Frustulia rhomboides,2008-09-29,,,
Gyrodinium grave,2008-09-29,,,
Protoperidinium bispinum,2008-09-29,,,
Peridinium robustum,2008-09-29,,,
Ptychodiscus noctiluca,2008-09-29,,,
Synedra frauenfeldii,2008-09-29,,,
Berkeleya micans,2008-09-29,,,
Amphora mexicana,2008-09-29,,,
Coscinodiscus antarcticus,2008-09-29,,,
Cryptophyceae,2008-09-29,,,
Cymbella aspera,2008-09-29,,,
Eutreptia spp.,2008-09-29,,,
Histioneis inornata,2008-09-29,,,
Mastogloia smithii,2008-09-29,,,
Planktoniella florea,2008-09-29,,,
Striatella interrupta,2008-09-29,,,
Cymbella cistula,2008-09-29,,,
Gymnodinium multilineatum,2008-09-29,,,
Pavillardinium spinosum,2008-09-29,,,
Rhopalodia gibba var. ventricosa,2008-09-29,,,
Surirella elongata,2008-09-29,,,
Surirella ovalis,2008-09-29,,,
Amphora peragallorum,2008-09-29,,,
Cochlodinium brandtii,2008-09-29,,,
Amphidinium curvatum,2008-09-29,,,
Asteromphalus elegans,2008-09-29,,,
Caloneis fusioides,2008-09-29,,,
Campylodiscus daemelianus,2008-09-29,,,
Eucampia spp.,2008-09-29,,,
Gyrodinium ovatum,2008-09-29,,,
Mastogloia quinquecostata,2008-09-29,,,
Navicula tripunctata,2008-09-29,,,
Navicula miniscula,2008-09-29,,,
Synedra closterioides,2008-09-29,,,
Stephanopyxis orbicularis,2008-09-29,,,
Centrodinium punctatum,2008-09-29,,,
Amphora lineolata,2008-09-29,,,
Coscinodiscus australis,2008-09-29,,,
Licmophora luxurians,2008-09-29,,,
Mastogloia baldjikiana,2008-09-29,,,
Mastogloia braunii,2008-09-29,,,
Mastogloia cribrosa,2008-09-29,,,
Mastogloia horvathiana,2008-09-29,,,
Steenstrupiella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Ulnaria ulna var. splendens,2008-09-29,,,
Diploneis vacillans,2008-09-29,,,
Surirella tenera,2008-09-29,,,
Amphidinium glaucum,2008-09-29,,,
Amphidinium oceanicum,2008-09-29,,,
Acanthostomella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Fragilaria / Fragilariopsis,2008-09-29,,,
Flagellates incertae,2008-09-29,,,
Flagellates ~ 20 µm,2008-09-29,,,
Ebria spp.,2008-09-29,,,
Druridgia spp.,2008-09-29,,,
Corythodinium spp.,2008-09-29,,,
Azpeitia spp.,2008-09-29,,,
Unid diatom,2008-09-29,,,
Trachyneis spp.,2008-09-29,,,
Spatulodinium spp.,2008-09-29,,,
Pseudosolenia spp.,2008-09-29,,,
Prasin Chlor Euglen-ophytes,2008-09-29,,,
Polykrikos spp.,2008-09-29,,,
Oblea spp.,2008-09-29,,,
Manguinea spp.,2008-09-29,,,
Large dinoflagellates cysts,2008-09-29,,,
Kofoidinium spp.,2008-09-29,,,
Heterocapsa spp.,2008-09-29,,,
Gossleriella spp.,2008-09-29,,,
