TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Thalassiosira spp.,2008-09-29,,,
Trichodesmium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Gymnodinium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Plastic,2008-09-29,,,
Favella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Aspergillus sydowii,2008-09-29,,,
Ciliate (Inc. tintinnid),2012-08-07,,,Ciliates not previously counted in NRS samples
Tripos muelleri,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Tripos gravidus,2008-09-29,,,
Dinophysis tripos,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Egg,2008-09-29,,,
Filamentous algae (non branching),2008-09-29,,,
Oxytoxum spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cymatocylis spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Amphidinium hadai,2008-09-29,,,
Asteromphalus hookeri,2008-09-29,,,
Tripos fusus/extensus,2008-09-29,,,
Chaetoceros atlanticus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros bulbosus,2008-09-29,,,
Chaetoceros convolutus,2008-09-29,,,
Chaetoceros criophilus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros curvatus,2008-09-29,,,
Chaetoceros dichaetus,2008-09-29,,,
Chaetoceros pendulus,2008-09-29,,,
Chaetoceros peruvianus < 40 µm cell width,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cocconeis fasciolata,2008-09-29,,,
Codonellopsis gausii,2008-09-29,,,
Corethron inerme,2008-09-29,,,
Corethron pennatum,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cymatocylis calyciformis,2008-09-29,,,
Dactyliosolen antarcticus,2008-09-29,,,
Dactyliosolen tenuijunctus,2008-09-29,,,
Centric diatom,2008-09-29,,,
Pennate diatom,2008-09-29,,,
Dictyocha speculum,2012-08-07,,,Silicofalgellates not previously counted in NRS samples
Dictyocha fibula,2012-08-07,,,Silicofalgellates not previously counted in NRS samples
