SAMPLE,DEPTH_M,SST,CHLA
178-73,-56.754375,18.81,0.409180671
162-48,-3563.308513,9.25,0.188484073
207-20,0.1121,10.13,0.233049735
209-24,0.1121,2.39,0.097094901
214-49,-77.405625,15.9174241,0.305110633
214-61,-49.914375,16.0554102,0.189303637
219-72,-4332.323344,2.05,0.132544905
221-12,0.1121,14.89,0.304334015
268-33,-757.1425,22.62,0.235621974
403-1,-5613.62875,15.9779797,0.190771446
349-45,-337.718125,14.16,0.192270935
362-33,-194.024375,23.2533267,0.123234563
358-9,-124.29375,21.1452712,0.500525355
321-43,0.1121,10.26,0.263256282
245-65,-2090.55375,19.4,0.103665702
315-32,-4686.46455,12.89,0.227329358
305-85,-74.105,13.34,0.344396174
139-63,0.1121,(null),(null)
148-15,0.1121,(null),(null)
148-34,0.1121,(null),(null)
270-49,-3086.93625,19.33,0.123411104
140-79,-4379.795513,5.5715216,(null)
241-25,-79.495,15.4637436,0.297655523
146-55,0.1121,3.96,0.150536045
146-59,-4048.241944,4.13,0.086634986
156-18,0.1121,4.08,0.139390722
157-44,0.1121,2.83,0.13727805
161-6,0.1121,5.07,(null)
167-20,-2643.385281,11.93,0.172155157
167-28,0.1121,12.21,0.336658478
167-42,0.1121,12.7,0.271134734
2-56,0.1121,(null),(null)
54-37,0.1121,13.74,0.561417043
15-81,-45.4393125,18.52,0.140077069
12-69,-884.8610875,23.23,0.143972605
187-45,0.1121,13.82,0.319627464
86-33,0.1121,10.13,0.125231788
64-21,-362.769375,27.09,0.144743562
113-29,-3639.91895,21.99,0.120297432
190-53,0.1121,18.36,0.321057081
130-5,-4493.382969,16.18,1.63117826
146-18,0.1121,2.33,0.165362433
404-53,-4379.585,17.182563,0.62690413
311-41,-45.3575,23.6686739,0.1458323
316-58,-4203.464638,11.1304103,0.237225249
149-31,-3254.501675,7.1091604,(null)
164-85,0.1121,2.41,(null)
164-89,-4425.563925,2.32,(null)
209-69,0.1121,0.96,0.16676569
216-18,0.1121,7.66,0.157976553
213-17,-1969.676875,17.96,0.260479122
215-12,0.1121,11.11,0.451233715
211-13,-746.28625,17.52,0.568982184
219-4,-4318.11945,5.96,(null)
143-53,-3597.441669,7.7288132,(null)
140-56,-4079.943413,4.7499243,(null)
328-29,-122.210625,21.98,0.469883859
150-58,0.1121,2.4087438,(null)
141-30,-4184.136625,5.9093688,(null)
90-17,0.1121,4.21,0.175835311
209-39,0.1121,2.24,0.160175443
7-58,-193.93,22.3104795,(null)
15-21,-2490.038763,22.86,0.133439362
5-29,-867.3870938,20.45,0.457336903
18-9,-870.287825,26.9,0.177636459
77-81,-37.90516875,17.23,0.399937779
94-43,0.1121,14.27,0.599057198
